Begriff,,C-Bevorzugt,C-Definitionsort,C-LetzteAenderung,Anmerkung
---Definition,TERMINUS,,,,Terminus; Lernziel; wird genau erklärt und im gesamten Buch kontinuierlich verwendet
---Definition,INDEX,,,,"Index-Begriff, Lernziel; wird ausreichend erklärt und kontinuierlich im Buch verwendet"
---Definition,INDEX2,,,,"Kontext-Begriff; Index; wird in einem Kapitel oder Abschnitt erklärt und verwendet und ist zum Verständnis des jeweiligen Abschnitts notwendig, wird aber nicht im gesamten Buch kontinuierlich verwendet"
---Definition,NORMAL,,,,Erwähnenswerter Begriff; Index ohne Hervorhebung
---Definition,Z,,,,Zusatzinfo; wird nicht gefordert
ACS,TERMINUS,,,,
Aderhaut,Z,,,,
Amboss!Ohr,INDEX,,,,
Angina pectoris,TERMINUS,,,,
Anus,INDEX,,ANA,3.nightly,
Appendix,INDEX,,ANA,3.nightly,
Arachnoidea mater,Z,,ANA,3.nightly,
Arterie,TERMINUS,,,,
Arteriole,INDEX,,,,
Bindehaut,TERMINUS,,,,
Bradykardie,TERMINUS,,,,
Bradypnoe,NORMAL,,,,
Bronchus,TERMINUS,,,,
Brustkorb,INDEX,Thorax,ANA,3.nightly,
Choroidea,Z,Aderhaut,,,
Colon,Z,Dickdarm,ANA,3.nightly,
Colon ascendens,Z,,ANA,3.nightly,
Colon descendens,Z,,ANA,3.nightly,
Colon Sigmoideum,Z,,ANA,3.nightly,
Colon transversum,Z,,ANA,3.nightly,
Cornea,Z,Hornhaut,,,
Dermis,Z,,ANA,3.nightly,
Dickdarm!absteigender Teil,INDEX,,ANA,3.nightly,
Dickdarm!aufsteigender Teil,INDEX,,ANA,3.nightly,
Dickdarm!querender Teil,INDEX,,ANA,3.nightly,
Dickdarm!s-förmig gebogener Teil,INDEX,,ANA,3.nightly,
Duodenum,INDEX,,ANA,3.nightly,
Duodenum,INDEX,,ANA,3.nightly,
Dura mater,Z,,ANA,3.nightly,
Dyspnoe,TERMINUS,,,,
Epidermis,Z,,ANA,3.nightly,
Hammer!Ohr,INDEX,,,,
Hirnhäute,INDEX,,ANA,3.nightly,
Hornhaut!Auge,TERMINUS,,,,
Hypertonie,TERMINUS,,,,
Hypotonie,TERMINUS,,,,
Ileum,TERMINUS,,ANA,3.nightly,
Incus,Z,Amboss,,,
Insuffizienz,TERMINUS,,,,
Iris,NORMAL,Regenbogenhaut,,,
Jejunum,TERMINUS,,ANA,3.nightly,
KHK,TERMINUS,,,,
Kohlehydratstoffwechsel,INDEX,Zuckerstoffwechsel,ANA,3.nightly,
Konjunktiva,Z,Bindehaut,,,
Koronargefäß,INDEX,Herzkranzgefäß,,,
Krummdarm,INDEX,Ileum,ANA,3.nightly,
Lederhaut,TERMINUS,,,,
Leerdarm,INDEX,Jejunum,ANA,3.nightly,
Linse!Auge,TERMINUS,,,,
Malleus,Z,Hammer,,,
Mastdarm,INDEX,,ANA,3.nightly,
Myokardinfarkt,TERMINUS,,,,
Netzhaut,TERMINUS,,,,
Peristaltik,INDEX,,ANA,3.nightly,
Pharynx,Z,,,,E: TERMINUS
Pia mater,Z,,ANA,3.nightly,
Rachen,TERMINUS,,ANA,3.nightly,
Regenbogenhaut,TERMINUS,,,,
Rektum,INDEX,,ANA,3.nightly,
Retina,NORMAL,Netzhaut,,,
Sigmoid,Z,,ANA,3.nightly,
Sklera,Z,Lederhaut,,,
Stapes,Z,Steigbügel,,,
Steigbügel!Ohr,INDEX,,,,
Stenokardie,NORMAL,,,,
Subcutis,INDEX,,ANA,3.nightly,
Symptom,TERMINUS,,,,
symptomatisch,INDEX,,,,
Tachykardie,TERMINUS,,,,
Tachypnoe,TERMINUS,,,,
Therapie,TERMINUS,,,,
Thorax,TERMINUS,,ANA,3.nightly,
Thorax,,,,,
Trachea,INDEX,,,,
Trommelfell,INDEX,,,,
Vena Cava,TERMINUS,,,,
Vena portae,Z,,ANA,3.nightly,
Vene,TERMINUS,,,,
Venole,INDEX,,,,
Ventrikel,INDEX,Herzkammer,,,
Wurmfortsatz,INDEX,,ANA,3.nightly,
Zuckerstoffwechsel,INDEX,,ANA,3.nightly,
Zwölffingerdarm,TERMINUS,,ANA,3.nightly,
