Begriff,,C-Bevorzugt,C-Definitionsort,C-LetzteAenderung,Anmerkung
---Definition,TERMINUS,,,,Terminus; Lernziel;  wird genau erklärt und im gesamten Buch kontinuierlich verwendet
---Definition,INDEX,,,,"Index-Begriff, Lernziel; wird ausreichend erklärt und kontinuierlich im Buch verwendet"
---Definition,INDEX2,,,,"Kontext-Begriff; Index; wird in einem Kapitel oder Abschnitt erklärt und verwendet und ist zum Verständnis des jeweiligen Abschnitts notwendig, wird aber nicht im gesamten Buch kontinuierlich verwendet"
---Definition,NORMAL,,,,Erwähnenswerter Begriff;  Index ohne Hervorhebung
---Definition,Z,,,,Zusatzinfo;  wird nicht gefordert
ACS,TERMINUS,,,3.nightly,
Aderhaut,Z,,,3.nightly,
Amboss!Ohr,INDEX,,,3.nightly,
Angina pectoris,TERMINUS,,,3.nightly,
Anus,INDEX,,ANA,3.nightly,
Appendix,INDEX,,ANA,3.nightly,
Arachnoidea mater,Z,,ANA,3.nightly,
Arterie,TERMINUS,,,3.nightly,
Arteriole,INDEX,,,3.nightly,
Bauchfell,TERMINUS,,,3.nightly,
Bauchspeicheldrüse,TERMINUS,,,3.nightly,
Bindehaut,TERMINUS,,,3.nightly,
Bradykardie,TERMINUS,,,3.nightly,
Bradypnoe,NORMAL,,,3.nightly,
Bronchus,TERMINUS,,,3.nightly,
Brustkorb,INDEX,Thorax,ANA,3.nightly,
Choroidea,Z,Aderhaut,,3.nightly,
Colon,Z,Dickdarm,ANA,3.nightly,
Colon ascendens,Z,,ANA,3.nightly,
Colon descendens,Z,,ANA,3.nightly,
Colon Sigmoideum,Z,,ANA,3.nightly,
Colon transversum,Z,,ANA,3.nightly,
Cornea,Z,Hornhaut,,3.nightly,
Darmgekröse,Z,Mesenterium,,3.nightly,
Dermis,Z,,ANA,3.nightly,
Dickdarm!absteigender Teil,INDEX,,ANA,3.nightly,
Dickdarm!aufsteigender Teil,INDEX,,ANA,3.nightly,
Dickdarm!querender Teil,INDEX,,ANA,3.nightly,
Dickdarm!s-förmig gebogener Teil,INDEX,,ANA,3.nightly,
Duodenum,INDEX,,ANA,3.nightly,
Duodenum,INDEX,,ANA,3.nightly,
Dura mater,Z,,ANA,3.nightly,
